epoch,total_loss,data_loss,physics_loss
10800,5.187634e-01,8.283374e-05,5.186805e-01
10850,5.138543e-01,8.315314e-05,5.137711e-01
10900,5.084019e-01,8.178662e-05,5.083201e-01
10950,5.044428e-01,1.087214e-04,5.043340e-01
11000,5.036014e-01,8.342402e-05,5.035179e-01
11050,4.991643e-01,1.269021e-04,4.990374e-01
11100,4.968990e-01,9.173538e-05,4.968073e-01
11150,4.920543e-01,8.787945e-05,4.919665e-01
11200,4.884624e-01,1.005473e-04,4.883619e-01
11250,4.866350e-01,1.038416e-04,4.865311e-01
11300,4.851348e-01,4.482252e-04,4.846866e-01
11350,4.762200e-01,8.647694e-05,4.761336e-01
11400,4.754764e-01,8.220025e-05,4.753942e-01
11450,4.728115e-01,8.245265e-05,4.727291e-01
11500,4.670231e-01,8.450793e-05,4.669386e-01
11550,4.694567e-01,8.174456e-05,4.693750e-01
11600,4.612485e-01,8.837221e-05,4.611602e-01
11650,4.584134e-01,8.178184e-05,4.583316e-01
11700,4.550424e-01,8.144340e-05,4.549610e-01
11750,4.565010e-01,8.241105e-05,4.564186e-01
11800,4.518268e-01,8.513768e-05,4.517417e-01
11850,4.468958e-01,9.318213e-05,4.468026e-01
11900,4.491593e-01,8.290216e-05,4.490764e-01
11950,4.418125e-01,8.162519e-05,4.417309e-01
12000,4.396323e-01,3.355858e-04,4.392967e-01
12050,4.390319e-01,8.210205e-05,4.389498e-01
12100,4.362668e-01,1.289811e-04,4.361379e-01
12150,4.318301e-01,9.221223e-05,4.317379e-01
12200,4.321997e-01,6.943248e-04,4.315054e-01
12250,4.281872e-01,8.726156e-05,4.280999e-01
12300,4.258257e-01,8.273875e-05,4.257430e-01
12350,4.226595e-01,8.144345e-05,4.225780e-01
12400,4.216782e-01,8.120677e-05,4.215970e-01
12450,4.205311e-01,8.130359e-05,4.204498e-01
12500,4.192494e-01,8.125381e-05,4.191681e-01
12550,4.146908e-01,8.136692e-05,4.146094e-01
12600,4.135889e-01,8.159545e-05,4.135073e-01
12650,4.177451e-01,8.165094e-05,4.176635e-01
12700,4.114101e-01,8.320211e-05,4.113269e-01
12750,4.085884e-01,8.952303e-05,4.084989e-01
12800,4.084694e-01,8.241631e-05,4.083870e-01
12850,4.056967e-01,8.429341e-05,4.056124e-01
12900,4.068606e-01,8.385533e-05,4.067767e-01
